"","target","offTarg","vAdj","genes","comparison"
"1","Interneurons","Pyramidal",0.1,"GAD1","Interneurons vs Pyramidal"
"4","Pyramidal","Interneurons",0.1,"SLC17A7","Pyramidal vs Interneurons"
"7","Int (Vip_0,17)","Int (Pvalb,Sst,Lamp5)",0.2,"CBLN2","Int (Vip_0,17) vs Int (Pvalb,Sst,Lamp5)"
"8","Int (Vip_0,17)","Int (Pvalb,Sst,Lamp5)",0.2,"AP1S2","Int (Vip_0,17) vs Int (Pvalb,Sst,Lamp5)"
"9","Int (Vip_0,17)","Int (Pvalb,Sst,Lamp5)",0.3,"PENK","Int (Vip_0,17) vs Int (Pvalb,Sst,Lamp5)"
"10","Int (Vip_0,17)","Int (Sncg_16)",0.3,"CALB2","Int (Vip_0,17) vs Int (Sncg_16)"
"11","Int (Vip_0,17)","Int (Sncg_16)",0.3,"TIAM1","Int (Vip_0,17) vs Int (Sncg_16)"
"12","Int (Vip_0,17)","Int (Sncg_16)",0.4,"SLITRK2","Int (Vip_0,17) vs Int (Sncg_16)"
"13","Int (Vip_0,17)","Int (SstChodl_18)",0.1,"CNR1","Int (Vip_0,17) vs Int (SstChodl_18)"
"16","Int (Vip_0,17)","Int (Meis2_22)",0.1,"RPH3A","Int (Vip_0,17) vs Int (Meis2_22)"
"19","Int (Pvalb,Sst,Lamp5)","Int (Vip_0,17)",0.2,"ITPR1","Int (Pvalb,Sst,Lamp5) vs Int (Vip_0,17)"
"20","Int (Pvalb,Sst,Lamp5)","Int (Vip_0,17)",0.4,"GABRD","Int (Pvalb,Sst,Lamp5) vs Int (Vip_0,17)"
"21","Int (Pvalb,Sst,Lamp5)","Int (Vip_0,17)",0.4,"SNAP25","Int (Pvalb,Sst,Lamp5) vs Int (Vip_0,17)"
"22","Int (Pvalb,Sst,Lamp5)","Int (Sncg_16)",0.2,"ADCY1","Int (Pvalb,Sst,Lamp5) vs Int (Sncg_16)"
"23","Int (Pvalb,Sst,Lamp5)","Int (Sncg_16)",0.3,"RAB3B","Int (Pvalb,Sst,Lamp5) vs Int (Sncg_16)"
"24","Int (Pvalb,Sst,Lamp5)","Int (Sncg_16)",0.3,"AKAP5","Int (Pvalb,Sst,Lamp5) vs Int (Sncg_16)"
"25","Int (Pvalb,Sst,Lamp5)","Int (SstChodl_18)",0.1,"GRM5","Int (Pvalb,Sst,Lamp5) vs Int (SstChodl_18)"
"28","Int (Pvalb,Sst,Lamp5)","Int (Meis2_22)",0.1,"RAB27B","Int (Pvalb,Sst,Lamp5) vs Int (Meis2_22)"
"31","Int (Sncg_16)","Int (Vip_0,17)",0.1,"CNR1","Int (Sncg_16) vs Int (Vip_0,17)"
"32","Int (Sncg_16)","Int (Vip_0,17)",0.2,"CADPS2","Int (Sncg_16) vs Int (Vip_0,17)"
"33","Int (Sncg_16)","Int (Vip_0,17)",0.3,"P2RY1","Int (Sncg_16) vs Int (Vip_0,17)"
"34","Int (Sncg_16)","Int (Pvalb,Sst,Lamp5)",0.2,"CBLN2","Int (Sncg_16) vs Int (Pvalb,Sst,Lamp5)"
"35","Int (Sncg_16)","Int (Pvalb,Sst,Lamp5)",0.2,"WNT5A","Int (Sncg_16) vs Int (Pvalb,Sst,Lamp5)"
"36","Int (Sncg_16)","Int (Pvalb,Sst,Lamp5)",0.2,"CPLX2","Int (Sncg_16) vs Int (Pvalb,Sst,Lamp5)"
"37","Int (Sncg_16)","Int (SstChodl_18)",0.1,"LRRC4C","Int (Sncg_16) vs Int (SstChodl_18)"
"40","Int (Sncg_16)","Int (Meis2_22)",0.1,"SHISA9","Int (Sncg_16) vs Int (Meis2_22)"
"43","Int (SstChodl_18)","Int (Vip_0,17)",0.1,"PTN","Int (SstChodl_18) vs Int (Vip_0,17)"
